month,pct,list_size
2015-01-01 00:00:00+00:00,,0.0
2015-01-01 00:00:00+00:00,00C,7619.5
2015-01-01 00:00:00+00:00,00D,5663.21568627451
2015-01-01 00:00:00+00:00,00F,6088.558823529413
2015-01-01 00:00:00+00:00,00G,8164.5
2015-01-01 00:00:00+00:00,00H,7544.388888888888
2015-01-01 00:00:00+00:00,00J,6169.536585365853
2015-01-01 00:00:00+00:00,00K,6369.695652173912
2015-01-01 00:00:00+00:00,00L,6853.063829787234
2015-01-01 00:00:00+00:00,00M,6068.541666666666
2015-01-01 00:00:00+00:00,00N,4311.333333333333
2015-01-01 00:00:00+00:00,00P,4724.483333333334
2015-01-01 00:00:00+00:00,00Q,4728.166666666666
2015-01-01 00:00:00+00:00,00R,5923.862068965516
2015-01-01 00:00:00+00:00,00T,4614.615384615385
2015-01-01 00:00:00+00:00,00V,5213.3421052631575
2015-01-01 00:00:00+00:00,00W,6035.27027027027
2015-01-01 00:00:00+00:00,00X,4933.277777777777
2015-01-01 00:00:00+00:00,00Y,4379.589285714285
2015-01-01 00:00:00+00:00,01A,5486.397058823532
2015-01-01 00:00:00+00:00,01C,7085.551724137931
2015-01-01 00:00:00+00:00,01D,4702.458333333332
2015-01-01 00:00:00+00:00,01E,5258.075000000001
2015-01-01 00:00:00+00:00,01F,5890.772727272727
2015-01-01 00:00:00+00:00,01G,4448.913793103448
2015-01-01 00:00:00+00:00,01H,5993.9655172413795
2015-01-01 00:00:00+00:00,01J,3764.3953488372094
2015-01-01 00:00:00+00:00,01K,9946.437499999998
2015-01-01 00:00:00+00:00,01M,5103.307692307692
2015-01-01 00:00:00+00:00,01N,6097.785714285714
2015-01-01 00:00:00+00:00,01R,8918.45
2015-01-01 00:00:00+00:00,01T,3682.0238095238096
2015-01-01 00:00:00+00:00,01V,4733.2692307692305
2015-01-01 00:00:00+00:00,01W,6315.770833333332
2015-01-01 00:00:00+00:00,01X,4529.348837209303
2015-01-01 00:00:00+00:00,01Y,5781.452380952381
2015-01-01 00:00:00+00:00,02A,6607.083333333333
2015-01-01 00:00:00+00:00,02D,6433.187500000001
2015-01-01 00:00:00+00:00,02E,8190.384615384615
2015-01-01 00:00:00+00:00,02F,6468.1
2015-01-01 00:00:00+00:00,02G,4671.5
2015-01-01 00:00:00+00:00,02H,4540.183098591549
2015-01-01 00:00:00+00:00,02M,7175.95238095238
2015-01-01 00:00:00+00:00,02N,6555.083333333334
2015-01-01 00:00:00+00:00,02P,5914.46511627907
2015-01-01 00:00:00+00:00,02Q,8735.538461538461
2015-01-01 00:00:00+00:00,02R,5042.746268656716
2015-01-01 00:00:00+00:00,02T,6783.624999999999
2015-01-01 00:00:00+00:00,02V,6977.166666666667
2015-01-01 00:00:00+00:00,02W,4201.586206896552
2015-01-01 00:00:00+00:00,02X,6643.765957446807
2015-01-01 00:00:00+00:00,02Y,6858.454545454545
2015-01-01 00:00:00+00:00,03A,5183.723404255319
2015-01-01 00:00:00+00:00,03C,7821.808510638299
2015-01-01 00:00:00+00:00,03D,6479.454545454545
2015-01-01 00:00:00+00:00,03E,8964.444444444445
2015-01-01 00:00:00+00:00,03F,4400.636363636364
2015-01-01 00:00:00+00:00,03G,5724.021276595746
2015-01-01 00:00:00+00:00,03H,5115.39393939394
2015-01-01 00:00:00+00:00,03J,5388.171428571429
2015-01-01 00:00:00+00:00,03K,7096.625
2015-01-01 00:00:00+00:00,03L,6467.924999999999
2015-01-01 00:00:00+00:00,03M,7910.199999999999
2015-01-01 00:00:00+00:00,03N,5983.6632653061215
2015-01-01 00:00:00+00:00,03Q,11707.0
2015-01-01 00:00:00+00:00,03R,8204.954545454546
2015-01-01 00:00:00+00:00,03T,6446.552631578948
2015-01-01 00:00:00+00:00,03V,12230.333333333332
2015-01-01 00:00:00+00:00,03W,9215.342857142858
2015-01-01 00:00:00+00:00,03X,8104.833333333333
2015-01-01 00:00:00+00:00,03Y,6403.375
2015-01-01 00:00:00+00:00,04C,5609.882352941176
2015-01-01 00:00:00+00:00,04D,5806.900000000001
2015-01-01 00:00:00+00:00,04E,4948.868421052632
2015-01-01 00:00:00+00:00,04F,9634.448275862069
2015-01-01 00:00:00+00:00,04G,9189.70422535211
2015-01-01 00:00:00+00:00,04H,8684.0
2015-01-01 00:00:00+00:00,04J,6753.162790697675
2015-01-01 00:00:00+00:00,04K,5556.784615384615
2015-01-01 00:00:00+00:00,04L,5321.535714285714
2015-01-01 00:00:00+00:00,04M,5554.117647058823
2015-01-01 00:00:00+00:00,04N,8817.42857142857
2015-01-01 00:00:00+00:00,04Q,5257.32
2015-01-01 00:00:00+00:00,04R,9654.660714285716
2015-01-01 00:00:00+00:00,04V,7358.274509803921
2015-01-01 00:00:00+00:00,04X,3954.75
2015-01-01 00:00:00+00:00,04Y,4772.214285714286
2015-01-01 00:00:00+00:00,05A,6277.532467532467
2015-01-01 00:00:00+00:00,05C,5822.25925925926
